student_course_id,student_id,course_id,semester,semester_credits_attempted,semester_credits_earned,semester_points,semester_gpa,course_grade,course_gpa,cgpa,course_points,comments
69,56,44,2013-1,3,0,0,,RE,0,1.33,0,REPEAT
70,56,48,2013-3,3,,,,NG,,1.33,,REPEAT
71,56,48,2014-1,3,,,0,NG,,1.33,,
72,56,41,2014-3,3,3,10.5,3.5,B+,3.5,1.33,10.5,
73,56,49,2015-1,3,0,0,,RE,0,1.33,0,
74,56,50,2015-2,3,0,0,,RE,0,1.33,0,
75,56,51,2016-1,3,3,0,0,F,0,1.33,0,
76,56,48,2016-2,3,,,,NG,,1.33,,REPEAT
77,56,52,2008-2,3,0,0,1.75,WF,0,1.33,0,
78,56,53,2008-2,3,3,10.5,1.75,B+,3.5,1.33,10.5,
79,56,54,2011-1,3,3,6,1,C,2,1.33,6,
80,56,55,2011-1,3,3,0,1,F,0,1.33,0,
81,56,48,2012-1,3,0,0,,RE,0,1.33,0,REPEAT
82,56,48,2013-1,3,0,0,,RE,0,1.33,0,REPEAT
83,56,40,2013-2,3,3,0,0,F,0,1.33,0,
84,56,44,2015-1,3,0,0,,RE,0,1.33,0,
85,56,34,2008-1,3,3,0,0.38,F,0,1.33,0,
86,56,48,2011-1,3,3,0,1,F,0,1.33,0,REPEAT
87,56,43,2011-2,3,3,6,2,C,2,1.33,6,
88,56,48,2011-3,3,0,0,3.5,WF,0,1.33,0,REPEAT
89,56,55,2012-1,3,0,0,,RE,0,1.33,0,REPEAT
90,56,48,2012-2,3,0,0,,RE,0,1.33,0,REPEAT
91,56,40,2012-2,3,0,0,,RE,0,1.33,0,REPEAT
92,56,56,2014-1,3,3,0,0,F,0,1.33,0,REPEAT
93,56,56,2015-1,3,0,0,,RE,0,1.33,0,
94,56,51,2015-2,3,0,0,,RE,0,1.33,0,REPEAT
95,56,55,2016-1,3,3,0,0,F,0,1.33,0,REPEAT
96,56,57,2008-1,3,0,0,0.38,WF,0,1.33,0,
97,56,44,2012-1,3,0,0,,RE,0,1.33,0,REPEAT
98,56,55,2013-1,3,0,0,,RE,0,1.33,0,REPEAT
99,56,49,2013-1,3,0,0,,RE,0,1.33,0,REPEAT
100,56,14,2008-1,3,3,0,0.38,F,0,1.33,0,
101,56,58,2010-2,3,3,12,4,A,4,1.33,12,
102,56,59,2013-1,3,0,0,,RE,0,1.33,0,
103,56,49,2014-1,3,3,0,0,F,0,1.33,0,REPEAT
104,56,60,2014-2,3,3,0,0,F,0,1.33,0,
105,105,26,2002-1,4,4,14,3.5,B+,3.5,3.62,14,
106,105,20,2002-2,3,3,10.5,3.5,B+,3.5,3.62,10.5,
107,105,18,2003-1,3,3,10.5,3.75,B+,3.5,3.62,10.5,
108,105,27,2003-1,3,3,12,3.75,A,4,3.62,12,
109,109,1,2003-1,3,3,0,0,F,0,1.23,0,
110,109,6,2002-1,3,3,6,1.5,C,2,1.23,6,
111,109,14,2002-2,3,3,4.5,2,D+,1.5,1.23,4.5,
112,109,11,2002-2,3,3,6,2,C,2,1.23,6,
113,109,5,2003-1,3,3,0,0,F,0,1.23,0,
114,109,8,2003-1,3,3,0,0,F,0,1.23,0,
115,109,1,2002-1,3,3,3,1.5,D,1,1.23,3,
116,109,2,2002-1,3,3,9,1.5,B,3,1.23,9,
117,109,5,2002-1,3,3,0,1.5,F,0,1.23,0,
118,109,7,2002-1,3,3,4.5,1.5,D+,1.5,1.23,4.5,
119,109,13,2002-2,3,3,7.5,2,C+,2.5,1.23,7.5,
120,120,1,2004-1,3,3,7.5,2.7,C+,2.5,3.29,7.5,
121,120,6,2004-1,3,3,9,2.7,B,3,3.29,9,
122,120,8,2005-1,3,3,12,3.55,A,4,3.29,12,
123,120,17,2005-1,3,3,9,3.55,B,3,3.29,9,
124,120,11,2004-2,3,3,9,3.2,B,3,3.29,9,
125,120,13,2004-2,3,3,0,3.2,F,0,3.29,0,REPEAT
126,120,9,2005-1,3,3,11.25,3.55,A-,3.75,3.29,11.25,
127,120,2,2004-1,3,3,7.5,2.7,C+,2.5,3.29,7.5,
128,120,7,2004-1,3,3,7.5,2.7,C+,2.5,3.29,7.5,
129,120,15,2004-2,3,3,12,3.2,A,4,3.29,12,
130,120,4,2005-1,3,3,10.5,3.55,B+,3.5,3.29,10.5,
131,120,10,2005-2,12,12,48,3.7,A,4,3.29,48,
132,120,3,2004-2,3,3,9,3.2,B,3,3.29,9,
133,120,5,2004-1,3,3,9,2.7,B,3,3.29,9,
134,120,14,2004-2,3,3,9,3.2,B,3,3.29,9,
135,120,16,2004-2,3,3,9,3.2,B,3,3.29,9,
136,120,12,2005-1,3,3,10.5,3.55,B+,3.5,3.29,10.5,
137,120,13,2005-2,3,3,7.5,3.7,C+,2.5,3.29,7.5,
138,138,48,2012-1,3,0,0,2,WF,0,2,0,
139,138,54,2012-1,3,3,6,2,C,2,2,6,
140,138,61,2012-1,3,3,6,2,C,2,2,6,
141,141,14,2003-2,3,3,11.25,3.79,A-,3.75,3.71,11.25,
142,141,3,2003-2,3,3,10.5,3.79,B+,3.5,3.71,10.5,
143,141,8,2004-1,3,3,12,3.9,A,4,3.71,12,
144,141,9,2004-1,3,3,12,3.9,A,4,3.71,12,
145,141,7,2003-1,3,3,9,3.6,B,3,3.71,9,
146,141,11,2003-2,3,3,12,3.79,A,4,3.71,12,
147,141,13,2003-2,3,3,11.25,3.79,A-,3.75,3.71,11.25,
148,141,1,2003-1,3,3,11.25,3.6,A-,3.75,3.71,11.25,
149,141,6,2003-1,3,3,11.25,3.6,A-,3.75,3.71,11.25,
150,141,15,2003-2,3,3,12,3.79,A,4,3.71,12,
151,141,17,2004-1,3,3,12,3.9,A,4,3.71,12,
152,141,5,2003-1,3,3,10.5,3.6,B+,3.5,3.71,10.5,
153,141,16,2003-2,3,3,11.25,3.79,A-,3.75,3.71,11.25,
154,141,12,2004-1,3,3,11.25,3.9,A-,3.75,3.71,11.25,
155,141,2,2003-1,3,3,12,3.6,A,4,3.71,12,
156,141,62,2004-1,3,3,11.25,3.9,A-,3.75,3.71,11.25,
157,141,10,2004-2,12,12,42,3.5,B+,3.5,3.71,42,
158,158,11,2005-2,3,0,0,3.55,WP,0,3.5,0,
159,158,63,2006-1,3,3,0,2.67,F,0,3.5,0,REPEAT
160,158,63,2007-1,3,3,10.5,3.63,B+,3.5,3.5,10.5,
161,158,14,2005-2,3,3,9,3.55,B,3,3.5,9,
162,158,16,2005-2,3,3,11.25,3.55,A-,3.75,3.5,11.25,
163,158,10,2006-2,12,12,48,3.9,A,4,3.5,48,
164,158,15,2005-2,3,3,10.5,3.55,B+,3.5,3.5,10.5,
165,158,3,2005-2,3,3,10.5,3.55,B+,3.5,3.5,10.5,
166,158,8,2006-1,3,3,4.5,2.67,D+,1.5,3.5,4.5,
167,158,64,2006-2,3,3,10.5,3.9,B+,3.5,3.5,10.5,
168,158,13,2005-2,3,3,12,3.55,A,4,3.5,12,
169,158,17,2006-1,3,3,9,2.67,B,3,3.5,9,
170,158,57,2007-1,3,3,11.25,3.63,A-,3.75,3.5,11.25,
171,158,65,2006-1,3,3,10.5,2.67,B+,3.5,3.5,10.5,
172,172,1,2003-1,3,3,12,3.83,A,4,3.77,12,
173,172,14,2003-2,3,3,12,3.83,A,4,3.77,12,
174,172,11,2003-2,3,3,11.25,3.83,A-,3.75,3.77,11.25,
175,172,15,2003-2,3,3,12,3.83,A,4,3.77,12,
176,172,7,2003-1,3,3,12,3.83,A,4,3.77,12,
177,172,62,2004-1,3,3,11.25,3.88,A-,3.75,3.77,11.25,
178,172,12,2004-1,3,3,11.25,3.88,A-,3.75,3.77,11.25,
179,172,6,2003-1,3,3,10.5,3.83,B+,3.5,3.77,10.5,
180,172,5,2003-1,3,3,11.25,3.83,A-,3.75,3.77,11.25,
181,172,13,2003-2,3,3,11.25,3.83,A-,3.75,3.77,11.25,
182,172,2,2003-1,3,3,12,3.83,A,4,3.77,12,
183,172,66,2003-1,3,3,11.25,3.83,A-,3.75,3.77,11.25,
184,172,16,2003-2,3,3,11.25,3.83,A-,3.75,3.77,11.25,
185,172,8,2004-1,3,3,12,3.88,A,4,3.77,12,
186,172,17,2004-1,3,3,12,3.88,A,4,3.77,12,
187,172,10,2004-2,12,12,42,3.5,B+,3.5,3.77,42,
188,172,3,2003-2,3,3,11.25,3.83,A-,3.75,3.77,11.25,
189,189,52,2008-1,3,3,11.25,3.83,A-,3.75,3.5,11.25,
190,189,53,2008-2,3,3,11.25,3.75,A-,3.75,3.5,11.25,
191,189,67,2009-1,3,3,7.5,2.75,C+,2.5,3.5,7.5,
192,189,68,2008-2,3,0,0,3.75,WP,0,3.5,0,
193,189,46,2009-1,3,3,9,2.75,B,3,3.5,9,
194,189,40,2013-2,3,3,10.5,3.75,B+,3.5,2.63,10.5,
195,189,69,2014-1,3,3,4.5,1.5,D+,1.5,2.63,4.5,
196,189,70,2008-1,3,3,11.25,3.83,A-,3.75,3.5,11.25,
197,189,71,2008-2,3,3,11.25,3.75,A-,3.75,3.5,11.25,
198,189,72,2014-1,3,3,3,1.5,D,1,2.63,3,
199,189,73,2014-2,3,0,0,,RE,0,2.63,0,
200,189,74,2013-2,3,3,11.25,3.75,A-,3.75,2.63,11.25,
201,189,6,2008-1,3,3,12,3.83,A,4,3.5,12,
202,189,75,2014-1,3,3,6,1.5,C,2,2.63,6,
203,189,51,2013-2,3,3,12,3.75,A,4,2.63,12,
204,204,16,2006-2,3,3,9,3.55,B,3,3.2,9,
205,204,57,2007-1,3,3,10.5,3,B+,3.5,3.2,10.5,
206,204,76,2007-1,3,3,7.5,3,C+,2.5,3.2,7.5,
207,204,65,2007-1,3,3,12,3,A,4,3.2,12,
208,204,77,2008-1,3,3,6,2,C,2,3.2,6,
209,204,78,2006-1,3,3,7.5,3.1,C+,2.5,3.2,7.5,
210,204,53,2006-2,3,3,10.5,3.55,B+,3.5,3.2,10.5,
211,204,63,2006-1,3,3,9,3.1,B,3,3.2,9,
212,204,46,2006-2,3,3,12,3.55,A,4,3.2,12,
213,204,79,2007-1,3,3,6,3,C,2,3.2,6,
214,204,80,2007-2,12,12,45,3.36,A-,3.75,3.2,45,
215,204,2,2006-1,3,3,10.5,3.1,B+,3.5,3.2,10.5,
216,204,67,2007-1,3,3,10.5,3,B+,3.5,3.2,10.5,
217,204,32,2007-2,3,3,9,3.36,B,3,3.2,9,
218,204,81,2007-2,3,3,10.5,3.36,B+,3.5,3.2,10.5,
219,204,6,2006-1,3,3,10.5,3.1,B+,3.5,3.2,10.5,
220,204,1,2006-2,3,3,6,3.55,C,2,3.2,6,REPEAT
221,204,64,2006-2,3,3,11.25,3.55,A-,3.75,3.2,11.25,
222,204,82,2006-2,3,3,10.5,3.55,B+,3.5,3.2,10.5,
223,204,14,2007-1,3,3,7.5,3,C+,2.5,3.2,7.5,
224,204,79,2006-1,3,0,0,3.1,WP,0,3.2,0,REPEAT
225,204,83,2006-1,3,3,9,3.1,B,3,3.2,9,
226,204,1,2007-2,3,3,6,3.36,C,2,3.2,6,
227,227,1,2003-1,3,3,11.25,3.85,A-,3.75,3.52,11.25,
228,227,11,2003-2,3,3,11.25,3.88,A-,3.75,3.52,11.25,
229,227,12,2004-1,3,3,12,3.6,A,4,3.52,12,
230,227,5,2003-1,3,3,11.25,3.85,A-,3.75,3.52,11.25,
231,227,6,2003-1,3,3,12,3.85,A,4,3.52,12,
232,227,7,2003-1,3,3,12,3.85,A,4,3.52,12,
233,227,14,2003-2,3,3,12,3.88,A,4,3.52,12,
234,227,62,2004-1,3,3,12,3.6,A,4,3.52,12,
235,227,10,2004-2,12,12,30,2.5,C+,2.5,3.52,30,
236,227,66,2003-1,3,0,0,3.85,W,0,3.52,0,
237,227,2,2003-1,3,3,11.25,3.85,A-,3.75,3.52,11.25,
238,227,16,2003-2,3,3,12,3.88,A,4,3.52,12,
239,227,8,2004-1,3,3,12,3.6,A,4,3.52,12,
240,227,13,2003-2,3,3,10.5,3.88,B+,3.5,3.52,10.5,
241,227,15,2003-2,3,3,12,3.88,A,4,3.52,12,
242,227,8,2003-1,3,0,0,3.85,W,0,3.52,0,REPEAT
243,227,3,2003-2,3,3,12,3.88,A,4,3.52,12,
244,227,17,2004-1,3,3,9,3.6,B,3,3.52,9,
245,227,9,2004-1,3,3,9,3.6,B,3,3.52,9,
246,246,7,2004-1,3,3,7.5,3.13,C+,2.5,3.26,7.5,
247,246,17,2005-1,3,3,7.5,3.29,C+,2.5,3.26,7.5,
248,246,4,2005-1,3,3,11.25,3.29,A-,3.75,3.26,11.25,
249,246,13,2005-2,3,3,7.5,3.7,C+,2.5,3.26,7.5,
250,246,2,2005-1,3,3,10.5,3.29,B+,3.5,3.26,10.5,
251,246,12,2005-1,3,3,9,3.29,B,3,3.26,9,
252,246,1,2004-1,3,3,10.5,3.13,B+,3.5,3.26,10.5,
253,246,2,2004-1,3,3,6,3.13,C,2,3.26,6,REPEAT
254,246,6,2004-1,3,3,10.5,3.13,B+,3.5,3.26,10.5,
255,246,14,2004-2,3,3,7.5,2.9,C+,2.5,3.26,7.5,
256,246,13,2004-2,3,3,0,2.9,F,0,3.26,0,REPEAT
257,246,3,2004-2,3,3,9,2.9,B,3,3.26,9,
258,246,16,2004-2,3,3,7.5,2.9,C+,2.5,3.26,7.5,
259,246,9,2005-1,3,3,9,3.29,B,3,3.26,9,
260,246,5,2004-1,3,3,9,3.13,B,3,3.26,9,
261,246,11,2004-2,3,3,7.5,2.9,C+,2.5,3.26,7.5,
262,246,15,2004-2,3,3,12,2.9,A,4,3.26,12,
263,246,8,2005-1,3,3,12,3.29,A,4,3.26,12,
264,246,10,2005-2,12,12,48,3.7,A,4,3.26,48,
265,265,79,2009-2,3,0,0,3.5,WP,0,1.75,0,
266,265,69,2010-1,3,3,0,0,F,0,1.75,0,
267,265,71,2009-2,3,3,10.5,3.5,B+,3.5,1.75,10.5,
268,265,52,2009-2,3,3,10.5,3.5,B+,3.5,1.75,10.5,
269,265,84,2010-1,3,3,0,0,F,0,1.75,0,
270,270,85,2004-3,3,3,9,3,B,3,2.55,9,
271,270,45,2005-1,3,3,10.5,3.63,B+,3.5,2.55,10.5,
272,270,33,2002-2,3,3,6,2.25,C,2,2.55,6,
273,270,86,2005-1,3,3,11.25,3.63,A-,3.75,2.55,11.25,
274,270,87,2005-3,3,3,11.25,3.38,A-,3.75,2.55,11.25,
275,270,88,2005-3,3,3,9,3.38,B,3,2.55,9,
276,270,32,2006-1,3,3,10.5,2.2,B+,3.5,2.55,10.5,
277,270,27,2001-1,3,3,3,1.6,D,1,2.55,3,
278,270,32,2002-2,3,3,0,2.25,F,0,2.55,0,REPEAT
279,270,32,2005-2,3,3,4.5,3,D+,1.5,2.55,4.5,REPEAT
280,270,89,2006-1,3,3,0,2.2,F,0,2.55,0,
281,270,34,2005-1,3,3,0,3.63,F,0,2.55,0,REPEAT
282,270,35,2005-2,3,3,10.5,3,B+,3.5,2.55,10.5,
283,270,24,2005-2,3,3,7.5,3,C+,2.5,2.55,7.5,
284,270,34,2006-1,3,3,7.5,2.2,C+,2.5,2.55,7.5,
285,270,90,2006-1,3,3,7.5,2.2,C+,2.5,2.55,7.5,
286,270,91,2004-3,3,3,9,3,B,3,2.55,9,
287,270,27,2006-1,3,3,7.5,2.2,C+,2.5,2.55,7.5,
288,270,18,2001-1,3,3,9,1.6,B,3,2.55,9,
289,270,26,2001-1,4,4,4,1.6,D,1,2.55,4,
290,270,20,2002-2,3,3,7.5,2.25,C+,2.5,2.55,7.5,
291,270,29,2006-1,3,0,0,2.2,W,0,2.55,0,
292,292,5,2004-1,3,3,11.25,3.06,A-,3.75,3.2,11.25,
293,292,2,2004-1,3,3,6,3.06,C,2,3.2,6,REPEAT
294,292,14,2004-2,3,3,10.5,3.25,B+,3.5,3.2,10.5,
295,292,1,2004-1,3,3,9,3.06,B,3,3.2,9,
296,292,7,2004-1,3,3,7.5,3.06,C+,2.5,3.2,7.5,
297,292,16,2004-2,3,3,9,3.25,B,3,3.2,9,
298,292,12,2005-1,3,3,6,3.04,C,2,3.2,6,
299,292,4,2005-1,3,3,10.5,3.04,B+,3.5,3.2,10.5,
300,292,13,2004-2,3,3,9,3.25,B,3,3.2,9,
301,292,15,2004-2,3,3,12,3.25,A,4,3.2,12,
302,292,17,2005-1,3,3,7.5,3.04,C+,2.5,3.2,7.5,
303,292,9,2005-1,3,3,7.5,3.04,C+,2.5,3.2,7.5,
304,292,6,2004-1,3,3,9,3.06,B,3,3.2,9,
305,292,3,2004-2,3,3,9,3.25,B,3,3.2,9,
306,292,2,2005-1,3,3,11.25,3.04,A-,3.75,3.2,11.25,
307,292,8,2005-1,3,3,12,3.04,A,4,3.2,12,
308,292,11,2004-2,3,3,9,3.25,B,3,3.2,9,
309,292,10,2005-2,12,12,42,3.5,B+,3.5,3.2,42,
310,310,27,2001-1,3,3,11.25,3.31,A-,3.75,3.35,11.25,
311,310,38,2002-2,3,3,11.25,3.63,A-,3.75,3.35,11.25,
312,310,66,2003-1,3,3,10.5,3,B+,3.5,3.35,10.5,
313,310,7,2003-1,3,3,7.5,3,C+,2.5,3.35,7.5,
314,310,21,2003-1,4,4,12,3,B,3,3.35,12,
315,310,3,2003-2,3,3,10.5,3.38,B+,3.5,3.35,10.5,
316,310,62,2004-1,3,3,9,3.33,B,3,3.35,9,
317,310,12,2004-1,3,3,12,3.33,A,4,3.35,12,
318,310,23,2001-1,1,1,3,3.31,B,3,3.35,3,
319,310,81,2001-2,3,3,12,3.3,A,4,3.35,12,
320,310,31,2002-2,3,3,11.25,3.63,A-,3.75,3.35,11.25,
321,310,22,2002-2,3,3,12,3.63,A,4,3.35,12,
322,310,26,2001-1,4,4,12,3.31,B,3,3.35,12,
323,310,29,2001-2,3,3,6,3.3,C,2,3.35,6,
324,310,5,2002-1,3,3,6,2.9,C,2,3.35,6,
325,310,8,2002-1,3,3,6,2.9,C,2,3.35,6,
326,310,6,2002-1,3,3,12,2.9,A,4,3.35,12,
327,310,33,2002-2,3,3,9,3.63,B,3,3.35,9,
328,310,30,2003-2,3,3,10.5,3.38,B+,3.5,3.35,10.5,
329,310,14,2003-2,3,3,10.5,3.38,B+,3.5,3.35,10.5,
330,310,13,2003-2,3,3,7.5,3.38,C+,2.5,3.35,7.5,
331,310,17,2004-1,3,3,9,3.33,B,3,3.35,9,
332,310,34,2001-1,3,3,9,3.31,B,3,3.35,9,
333,310,24,2001-1,3,3,9,3.31,B,3,3.35,9,
334,310,18,2001-1,3,3,12,3.31,A,4,3.35,12,
335,310,36,2001-2,3,3,9,3.3,B,3,3.35,9,
336,310,1,2002-1,3,3,9,2.9,B,3,3.35,9,
337,310,10,2004-2,12,12,48,4,A,4,3.35,48,
338,310,16,2003-2,3,3,10.5,3.38,B+,3.5,3.35,10.5,
339,310,35,2001-2,3,3,12,3.3,A,4,3.35,12,
340,310,37,2001-2,3,3,10.5,3.3,B+,3.5,3.35,10.5,
341,310,2,2002-1,3,3,10.5,2.9,B+,3.5,3.35,10.5,
342,310,11,2003-2,3,3,11.25,3.38,A-,3.75,3.35,11.25,
343,343,23,2001-1,1,1,2.5,2.74,C+,2.5,3.01,2.5,
344,343,26,2001-1,4,4,8,2.74,C,2,3.01,8,
345,343,35,2001-2,3,3,12,3.05,A,4,3.01,12,
346,343,30,2002-2,3,3,6,3.13,C,2,3.01,6,
347,343,6,2003-1,3,3,10.5,3.33,B+,3.5,3.01,10.5,
348,343,16,2003-2,3,3,7.5,3.46,C+,2.5,3.01,7.5,
349,343,29,2004-1,3,3,9,3.15,B,3,3.01,9,
350,343,17,2004-1,3,3,9,3.15,B,3,3.01,9,
351,343,92,2001-1,3,3,6,2.74,C,2,3.01,6,
352,343,34,2002-1,3,3,7.5,2.64,C+,2.5,3.01,7.5,
353,343,24,2002-1,3,3,10.5,2.64,B+,3.5,3.01,10.5,
354,343,21,2002-1,4,4,6,2.64,D+,1.5,3.01,6,
355,343,66,2003-1,3,3,10.5,3.33,B+,3.5,3.01,10.5,
356,343,62,2004-1,3,3,9,3.15,B,3,3.01,9,
357,343,12,2004-1,3,3,9,3.15,B,3,3.01,9,
358,343,93,2001-1,3,3,10.5,2.74,B+,3.5,3.01,10.5,
359,343,36,2001-2,3,3,6,3.05,C,2,3.01,6,
360,343,37,2002-2,3,3,9,3.13,B,3,3.01,9,
361,343,7,2003-1,3,3,9,3.33,B,3,3.01,9,
362,343,11,2003-2,3,3,11.25,3.46,A-,3.75,3.01,11.25,
363,343,8,2004-1,3,3,11.25,3.15,A-,3.75,3.01,11.25,
364,343,94,2000-3,3,3,9,3,B,3,3.01,9,
365,343,20,2001-2,3,3,9,3.05,B,3,3.01,9,
366,343,29,2001-2,3,3,3,3.05,D,1,3.01,3,REPEAT
367,343,38,2002-1,3,3,9,2.64,B,3,3.01,9,
368,343,31,2002-2,3,3,10.5,3.13,B+,3.5,3.01,10.5,
369,343,1,2003-1,3,3,11.25,3.33,A-,3.75,3.01,11.25,
370,343,2,2003-1,3,3,11.25,3.33,A-,3.75,3.01,11.25,
371,343,3,2003-2,3,3,10.5,3.46,B+,3.5,3.01,10.5,
372,343,10,2004-2,12,12,30,2.5,C+,2.5,3.01,30,
373,343,28,2001-1,3,3,9,2.74,B,3,3.01,9,
374,343,33,2001-2,3,3,11.25,3.05,A-,3.75,3.01,11.25,
375,343,18,2002-1,3,3,11.25,2.64,A-,3.75,3.01,11.25,
376,343,13,2003-2,3,3,10.5,3.46,B+,3.5,3.01,10.5,
377,343,19,2001-1,3,3,10.5,2.74,B+,3.5,3.01,10.5,
378,343,81,2001-2,3,3,7.5,3.05,C+,2.5,3.01,7.5,
379,343,27,2002-1,3,3,6,2.64,C,2,3.01,6,
380,343,22,2002-2,3,3,12,3.13,A,4,3.01,12,
381,343,5,2003-1,3,3,7.5,3.33,C+,2.5,3.01,7.5,
382,343,14,2003-2,3,3,10.5,3.46,B+,3.5,3.01,10.5,
383,343,15,2003-2,3,3,12,3.46,A,4,3.01,12,
384,384,1,2004-1,3,3,7.5,2.83,C+,2.5,3.11,7.5,
385,384,7,2004-1,3,3,7.5,2.83,C+,2.5,3.11,7.5,
386,384,16,2004-2,3,3,9,2.88,B,3,3.11,9,
387,384,4,2005-1,3,3,10.5,3.25,B+,3.5,3.11,10.5,
388,384,12,2005-2,4,4,4,4,D,1,3.11,4,REPEAT
389,384,65,2006-1,3,3,7.5,2.5,C+,2.5,3.11,7.5,
390,384,12,2006-1,3,3,7.5,2.5,C+,2.5,3.11,7.5,
391,384,10,2006-2,12,12,48,4,A,4,3.11,48,
392,384,29,2007-1,3,3,0,,F,0,3.11,0,REPEAT
393,384,5,2004-1,3,3,10.5,2.83,B+,3.5,3.11,10.5,
394,384,14,2004-2,3,3,9,2.88,B,3,3.11,9,
395,384,11,2004-2,3,3,9,2.88,B,3,3.11,9,
